Booking_ID,booking_status
INN04969,0
INN34541,0
INN36109,0
INN01554,1
INN24975,0
INN27080,0
INN29146,1
INN05926,0
INN17356,0
INN25284,0
INN28043,0
INN00264,1
INN36020,0
INN05558,1
INN07365,0
INN35759,0
INN24606,0
INN14613,0
INN00927,0
INN03156,0
INN18684,0
INN24976,0
INN02773,0
INN09126,0
INN23806,0
INN05911,0
INN10744,1
INN18155,0
INN01732,0
INN28020,0
INN11177,0
INN24767,0
INN24168,0
INN17657,0
INN19937,0
INN10005,0
INN19470,0
INN03227,0
INN20723,1
INN32020,0
INN04254,0
INN06188,0
INN19814,1
INN26451,1
INN07030,0
INN34873,0
INN27817,1
INN32177,1
INN05866,1
INN12355,0
INN27652,0
INN27153,0
INN35279,1
INN16005,1
INN12990,0
INN24073,0
INN33637,0
INN13485,0
INN16436,1
INN34987,0
INN14263,0
INN35353,0
INN00269,0
INN32425,0
INN27275,0
INN35034,0
INN34452,0
INN35113,0
INN34588,0
INN07616,1
INN26088,0
INN09286,1
INN32284,0
INN13788,0
INN03704,1
INN21855,0
INN16700,1
INN30579,0
INN07578,0
INN05758,0
INN31672,0
INN00084,1
INN15712,1
INN21926,0
INN07318,1
INN22391,0
INN34753,0
INN10927,0
INN07802,1
INN06082,1
INN05187,0
INN10952,1
INN16320,0
INN18055,1
INN02266,0
INN33046,0
INN33753,0
INN35475,1
INN14908,1
INN35795,0
INN35668,0
INN19700,1
INN35228,1
INN12325,0
INN13499,0
INN22534,1
INN31212,0
INN33520,0
INN15795,0
INN12712,1
INN07104,1
INN27400,0
INN31525,1
INN18168,0
INN23731,1
INN13833,1
INN28228,0
INN24517,0
INN15483,0
INN20700,0
INN02650,1
INN13261,0
INN30788,1
INN15499,0
INN02562,0
INN29761,0
INN35910,0
INN15337,1
INN00071,0
INN10545,0
INN16346,0
INN08566,0
INN12010,0
INN24714,0
INN04916,1
INN30066,1
INN29665,0
INN31774,0
INN13827,0
INN00466,1
INN16884,1
INN06217,0
INN18504,0
INN05180,1
INN08039,0
INN00313,0
INN04700,0
INN16731,0
INN06066,0
INN05573,1
INN11238,0
INN14218,0
INN26488,0
INN26079,0
INN35612,1
INN31168,1
INN13144,0
INN02792,0
INN34087,0
INN29578,1
INN23190,0
INN01158,0
INN02555,1
INN21625,0
INN28268,0
INN21241,0
INN19859,0
INN01683,1
INN09949,1
INN09808,1
INN29709,1
INN03894,0
INN05839,1
INN03029,0
INN18224,0
INN03980,1
INN13731,0
INN22867,1
INN20326,0
INN02970,0
INN11661,0
INN26818,1
INN26174,0
INN14495,0
INN35656,0
INN29208,1
INN06268,0
INN10870,0
INN15640,0
INN34774,0
INN17039,1
INN24361,0
INN11077,0
INN30989,1
INN16314,0
INN16829,0
INN28490,0
INN08181,0
INN12627,0
INN10390,0
INN07340,1
INN23221,0
INN24006,0
INN06869,1
INN29356,0
INN23147,0
INN14364,0
INN31585,1
INN20551,0
INN13609,0
INN00274,0
